Month and Year,Thermal,Nuclear,Hydro,BHUTAN IMP_Hydro,Renewable,Total Power Generation
Feb-2019<br>All India,89.30048,3.17291,8.43584,0.0682,11.24518,112.22261
Mar-2019<br>All India,82.81242,4.05431,9.08989,0.10638,11.30045,107.36345
Apr-2019<br>All India,66.80572,3.86008,10.12142,0.258,10.63382,91.67904
Jul-2019<br>All India,87.37192,4.38228,15.77735,,,107.53155
Aug-2019<br>All India,80.78213,4.30232,19.92838,,,105.01283
Sep-2019<br>All India,78.98025,4.22023,20.79072,,,103.9912
Oct-2019<br>All India,79.11494,4.31243,14.63631,,,98.06368
Nov-2019<br>All India,79.53301,3.79235,10.02093,,,93.34629
Dec-2019<br>All India,86.32915,3.67659,8.92689,,,98.93263
Jan-2020<br>All India,90.8031,3.43739,8.66507,,,102.90556
Feb-2020<br>All India,89.30048,3.17291,8.43584,,,100.90923
Mar-2020<br>All India,82.81242,4.05431,9.08989,,,95.95662
Apr-2020<br>All India,66.80572,3.86008,10.12142,,,80.78722
May-2020<br>All India,77.89375,3.79754,14.02613,,,95.71742
Jun-2020<br>All India,78.14717,3.76473,17.01582,,,98.92772
Jul-2020<br>All India,85.44727,3.35852,17.9224,,,106.72819
Aug-2020<br>All India,79.0337,3.59073,18.94988,,,101.57431
Sep-2020<br>All India,85.98774,3.88197,18.89044,,,108.76015
Oct-2020<br>All India,89.65552,3.96913,13.14324,,,106.76789
Nov-2020<br>All India,82.53546,3.83099,8.41667,,,94.78312
Dec-2020<br>All India,91.41103,3.89484,8.15893,,,103.4648
Jan-2021<br>All India,97.19182,3.2145,7.96344,,,108.36976
Feb-2021<br>All India,91.29931,2.70482,7.31626,,,101.32039
Mar-2021<br>All India,107.10505,3.16123,8.37489,,,118.64117
Apr-2021<br>All India,103.69741,3.36372,8.26557,,,115.3267
May-2021<br>All India,87.50663,4.00018,11.75214,,,103.25895
Jun-2021<br>All India,85.43776,3.89212,16.00832,,,105.3382
Jul-2021<br>All India,92.4267,3.61318,18.74528,,,114.78516
Aug-2021<br>All India,96.23197,3.13988,20.26991,,,119.64176
Sep-2021<br>All India,85.31901,3.89696,17.76529,,,106.98126
Oct-2021<br>All India,90.10568,4.41741,15.53461,,,110.0577
Nov-2021<br>All India,82.70887,4.06263,9.70573,,,96.47723
Dec-2021<br>All India,93.29551,4.45132,8.06618,,,105.81301
Jan-2022<br>All India,96.29228,4.0567,7.49703,,,107.84601
Feb-2022<br>All India,92.93151,3.81139,7.43341,,,104.17631
Mar-2022<br>All India,108.76115,4.40657,10.58386,,,123.75158
Apr-2022<br>All India,111.58283,3.52119,11.54096,,,126.64498
May-2022<br>All India,108.41617,3.52472,12.88091,,,124.8218
Jun-2022<br>All India,105.61817,3.86738,13.94612,,,123.43167
Jul-2022<br>All India,94.35588,4.01693,19.46511,,,117.83792
Aug-2022<br>All India,93.23,3.58677,23.40411,,,120.22088
Sep-2022<br>All India,93.29594,3.41252,22.01656,,,118.72502
Oct-2022<br>All India,88.18558,4.21926,16.17867,,,108.58351
Nov-2022<br>All India,94.46284,3.86967,9.88041,,,108.21292
Dec-2022<br>All India,102.94225,3.90158,8.59076,,,115.43459
Jan-2023<br>All India,106.39371,4.11892,8.06315,,,118.57578
Feb-2023<br>All India,99.36763,3.77436,8.35846,,,111.50045
Mar-2023<br>All India,108.35967,4.04779,7.77355,,,120.18101
Apr-2023<br>All India,111.57348,3.51245,8.72897,,,123.8149
May-2023<br>All India,111.51528,3.49591,11.45868,,,126.46987
Jun-2023<br>All India,109.22004,3.20974,14.33425,,,126.76403
Jul-2023<br>All India,103.17541,3.95453,17.92448,,,125.05442
Aug-2023<br>All India,110.06564,4.37012,21.95979,,,136.39555
Sep-2023<br>All India,108.82055,4.52577,16.32275,,,129.66907
Oct-2023<br>All India,117.25864,4.49354,11.24045,,,132.99263
Nov-2023<br>All India,103.66697,4.42449,6.62129,,,114.71275
Dec-2023<br>All India,105.49125,4.27681,6.16711,,,115.93517
,117.25864,4.52577,6.16711,,,80.78722
